defteam,def_front,play_type,plays,epa_allowed,success_rate_allowed,yards_allowed,td_rate,first_down_rate,pressure_rate,interceptions,sacks,yac_allowed
CHI,Standard (6),run,242,0.06017169,0.45454547,5.3347106,0.024793388,0.26859504,0.0,0.0,0.0,
CHI,Heavy (7),pass,116,0.057873674,0.51724136,6.62069,0.03448276,0.31896552,0.1896551724137931,4.0,11.0,5.6
CHI,Heavy (7),run,147,-0.07257559,0.43537414,4.707483,0.034013607,0.2585034,0.0,0.0,0.0,
CHI,Stacked (8+),pass,13,-0.6627637,0.3846154,3.6923077,0.15384616,0.30769232,0.15384615384615385,1.0,1.0,3.6666667
CHI,Stacked (8+),run,46,-0.09681092,0.54347825,4.4565215,0.08695652,0.41304347,0.0,0.0,0.0,
CIN,Light (≤5),pass,123,0.123874374,0.45528457,7.292683,0.08130081,0.30081302,0.17073170731707318,2.0,9.0,6.733333
CIN,Light (≤5),run,21,0.32913315,0.61904764,7.142857,0.04761905,0.42857143,0.0,0.0,0.0,
CIN,Standard (6),pass,332,0.15980849,0.49096385,7.003012,0.042168673,0.36746988,0.12650602409638553,9.0,18.0,6.8439026
CIN,Standard (6),run,279,0.1465513,0.46594983,5.6810036,0.050179213,0.26881722,0.0,0.0,0.0,
CIN,Heavy (7),pass,91,0.2862216,0.53846157,6.989011,0.054945055,0.36263737,0.13186813186813187,1.0,4.0,7.735849
CIN,Heavy (7),run,133,-0.006050458,0.42105263,4.819549,0.015037594,0.31578946,0.0,0.0,0.0,
CIN,Stacked (8+),pass,25,-0.011718415,0.52,4.84,0.2,0.48,0.16,1.0,4.0,8.533334
CIN,Stacked (8+),run,31,-0.21548505,0.48387095,4.548387,0.032258064,0.2580645,0.0,0.0,0.0,
CLE,Light (≤5),pass,104,-0.3387834,0.34615386,5.0,0.009615385,0.26923078,0.22115384615384615,2.0,9.0,5.7115383
CLE,Light (≤5),run,14,-0.30183712,0.21428572,3.142857,0.071428575,0.14285715,0.0,0.0,0.0,
CLE,Standard (6),pass,276,-0.072067425,0.4456522,5.481884,0.039855074,0.29347825,0.17391304347826086,5.0,24.0,5.1988306
CLE,Standard (6),run,180,-0.046493527,0.38333333,4.2388887,0.011111111,0.21111111,0.0,0.0,0.0,
CLE,Heavy (7),pass,118,-0.2052123,0.41525424,5.0338984,0.084745765,0.30508474,0.211864406779661,4.0,15.0,5.428571
CLE,Heavy (7),run,178,-0.116226934,0.3764045,3.8539326,0.028089888,0.24157304,0.0,0.0,0.0,
CLE,Stacked (8+),pass,42,0.19822264,0.47619048,5.142857,0.16666667,0.4047619,0.19047619047619047,0.0,5.0,5.3636365
CLE,Stacked (8+),run,82,0.110157155,0.40243903,6.1585364,0.07317073,0.25609756,0.0,0.0,0.0,
DAL,Light (≤5),pass,87,0.6420095,0.5862069,8.839081,0.12643678,0.43678162,0.16091954022988506,0.0,2.0,5.0735292
DAL,Light (≤5),run,13,0.6165097,0.61538464,8.846154,0.07692308,0.61538464,0.0,0.0,0.0,
DAL,Standard (6),pass,359,0.11241309,0.4735376,6.685237,0.0362117,0.3231198,0.181058495821727,5.0,25.0,5.536036
DAL,Standard (6),run,234,0.12743409,0.4871795,5.4957266,0.047008548,0.30341882,0.0,0.0,0.0,
DAL,Heavy (7),pass,122,0.13693488,0.48360655,7.5,0.04918033,0.33606556,0.23770491803278687,1.0,8.0,6.786667
DAL,Heavy (7),run,157,0.02410447,0.44585988,4.5159235,0.031847134,0.3057325,0.0,0.0,0.0,
DAL,Stacked (8+),pass,25,0.7157097,0.68,7.92,0.24,0.56,0.04,0.0,0.0,5.9375
DAL,Stacked (8+),run,30,-0.01737376,0.43333334,1.4333333,0.23333333,0.4,0.0,0.0,0.0,
DEN,Light (≤5),pass,164,-0.03281068,0.3292683,4.597561,0.030487806,0.21341464,0.24390243902439024,2.0,18.0,4.822785
DEN,Light (≤5),run,25,0.6728567,0.6,7.96,0.04,0.48,0.0,0.0,0.0,
DEN,Standard (6),pass,332,-0.1924876,0.3433735,4.740964,0.027108435,0.27108434,0.23493975903614459,6.0,34.0,3.9602273
DEN,Standard (6),run,237,-0.099900424,0.3628692,4.0970464,0.021097047,0.1814346,0.0,0.0,0.0,
DEN,Heavy (7),pass,128,0.008439504,0.421875,5.4921875,0.0234375,0.28125,0.2109375,1.0,14.0,5.7285714
