defteam,score_bucket,qtr,plays,epa_allowed,success_rate_allowed,yards_allowed,td_rate,first_down_rate,pressure_rate,interceptions,sacks,yac_allowed
BUF,Tied,4.0,6,,,,,,0.5,0.0,1.0,
BUF,Slight Lead,3.0,30,0.17206095,0.46666667,5.6,0.06666667,0.36666667,0.0,1.0,0.0,0.5714286
BUF,Slight Lead,4.0,39,-0.3483589,0.30769232,4.769231,0.051282052,0.20512821,0.15384615384615385,1.0,4.0,5.5833335
BUF,Leading (7-13),3.0,51,-0.08624303,0.47058824,4.019608,0.039215688,0.29411766,0.09803921568627451,1.0,1.0,2.8461537
BUF,Leading (7-13),4.0,46,-0.05611999,0.36956522,5.6086955,0.04347826,0.3043478,0.1956521739130435,2.0,3.0,3.8888888
BUF,Up Big,3.0,25,-0.65925115,0.2,3.32,0.0,0.12,0.16,0.0,2.0,3.625
BUF,Up Big,4.0,69,0.14077975,0.44927537,4.1594205,0.057971016,0.33333334,0.14492753623188406,0.0,6.0,4.0
CAR,Down Big,3.0,56,0.37036395,0.42857143,7.535714,0.08928572,0.375,0.017857142857142856,1.0,1.0,10.0
CAR,Down Big,4.0,36,-0.043392316,0.33333334,4.25,0.027777778,0.25,0.027777777777777776,1.0,0.0,1.2222222
CAR,Down (7-13),3.0,18,0.5316712,0.7222222,6.5,0.11111111,0.44444445,0.0,0.0,0.0,6.142857
CAR,Down (7-13),4.0,62,0.12544695,0.43548387,4.854839,0.016129032,0.30645162,0.03225806451612903,0.0,1.0,4.0833335
CAR,Slight Deficit,3.0,38,-0.10481305,0.47368422,4.0263157,0.0,0.18421052,0.05263157894736842,0.0,1.0,3.8888888
CAR,Slight Deficit,4.0,35,-0.35867,0.2857143,3.6857142,0.028571429,0.17142858,0.05714285714285714,0.0,1.0,5.230769
CAR,Tied,3.0,12,-0.016872764,0.41666666,5.25,0.083333336,0.33333334,0.08333333333333333,1.0,0.0,5.5
CAR,Tied,4.0,14,-0.033442907,0.35714287,5.857143,0.0,0.2857143,0.0,0.0,0.0,6.0
CAR,Tied,5.0,3,,,,,,0.0,0.0,0.0,
CAR,Slight Lead,3.0,40,0.056589223,0.475,4.925,0.05,0.275,0.075,1.0,1.0,5.428571
CAR,Slight Lead,4.0,48,0.22433156,0.5,7.1875,0.041666668,0.33333334,0.08333333333333333,1.0,3.0,4.3157897
CAR,Leading (7-13),3.0,36,-0.29469076,0.3611111,4.0,0.027777778,0.2777778,0.1111111111111111,2.0,3.0,2.1818182
CAR,Leading (7-13),4.0,49,0.050015844,0.53061223,5.714286,0.040816326,0.3265306,0.14285714285714285,1.0,4.0,3.9130435
CAR,Up Big,3.0,17,-0.44832447,0.4117647,4.9411764,0.0,0.29411766,0.058823529411764705,1.0,0.0,4.5
CAR,Up Big,4.0,15,-0.24602054,0.46666667,5.3333335,0.0,0.26666668,0.0,0.0,0.0,3.8
CHI,Down Big,3.0,13,0.6383735,0.3846154,14.0,0.07692308,0.3846154,0.07692307692307693,0.0,0.0,16.25
CHI,Down Big,4.0,11,0.368561,0.54545456,5.0,0.18181819,0.27272728,0.0,0.0,0.0,3.3333333
CHI,Down (7-13),3.0,40,-0.044606067,0.375,5.575,0.0,0.3,0.075,0.0,1.0,8.5
CHI,Down (7-13),4.0,33,0.18705802,0.54545456,6.5454545,0.030303031,0.36363637,0.030303030303030304,0.0,1.0,10.428572
CHI,Slight Deficit,3.0,42,0.14018765,0.5714286,7.714286,0.071428575,0.35714287,0.023809523809523808,1.0,1.0,6.1
CHI,Slight Deficit,4.0,48,0.049367588,0.375,5.125,0.0625,0.25,0.0625,0.0,3.0,6.2
CHI,Tied,3.0,8,,,,,,0.0,0.0,0.0,
CHI,Tied,4.0,30,0.13906349,0.5,6.0666666,0.033333335,0.3,0.03333333333333333,1.0,1.0,7.0
CHI,Tied,5.0,6,,,,,,0.3333333333333333,0.0,1.0,
CHI,Slight Lead,3.0,48,-0.13591017,0.47916666,6.5625,0.083333336,0.35416666,0.020833333333333332,1.0,1.0,6.6153846
CHI,Slight Lead,4.0,58,0.09976615,0.4827586,5.793103,0.06896552,0.3275862,0.10344827586206896,1.0,1.0,4.5555553
CHI,Leading (7-13),3.0,45,-0.20530404,0.42222223,4.733333,0.044444446,0.2888889,0.1111111111111111,3.0,2.0,5.230769
CHI,Leading (7-13),4.0,56,0.122336484,0.5535714,5.714286,0.05357143,0.2857143,0.08928571428571429,1.0,2.0,3.6363637
CHI,Up Big,3.0,17,-0.42170528,0.1764706,4.882353,0.0,0.1764706,0.35294117647058826,1.0,1.0,7.25
CHI,Up Big,4.0,72,-0.06152263,0.4722222,5.8333335,0.027777778,0.3472222,0.1111111111111111,5.0,3.0,3.15
CIN,Down Big,3.0,52,0.37977254,0.5769231,8.326923,0.057692308,0.48076922,0.057692307692307696,0.0,2.0,8.294118
CIN,Down Big,4.0,38,-0.11355838,0.36842105,5.5263157,0.02631579,0.2631579,0.02631578947368421,0.0,1.0,9.428572
CIN,Down (7-13),3.0,5,,,,,,0.2,0.0,0.0,
CIN,Down (7-13),4.0,44,0.49824333,0.59090906,8.090909,0.09090909,0.45454547,0.022727272727272728,0.0,1.0,10.875
CIN,Slight Deficit,3.0,56,0.042348273,0.48214287,5.589286,0.0,0.30357143,0.08928571428571429,1.0,3.0,4.631579
CIN,Slight Deficit,4.0,52,-0.038481355,0.42307693,4.5384617,0.03846154,0.23076923,0.17307692307692307,0.0,4.0,6.3333335
CIN,Tied,3.0,12,0.3267641,0.6666667,5.4166665,0.083333336,0.33333334,0.0,0.0,0.0,7.0
CIN,Tied,4.0,8,,,,,,0.0,0.0,0.0,
CIN,Slight Lead,3.0,53,0.2494976,0.6037736,6.8679247,0.056603774,0.3773585,0.03773584905660377,0.0,1.0,7.3636365
CIN,Slight Lead,4.0,53,0.13880447,0.4528302,6.5094337,0.056603774,0.28301886,0.09433962264150944,1.0,3.0,6.5
CIN,Leading (7-13),3.0,44,0.30019233,0.52272725,7.8863635,0.06818182,0.36363637,0.06818181818181818,1.0,1.0,10.833333
CIN,Leading (7-13),4.0,18,0.4073666,0.5555556,8.944445,0.11111111,0.44444445,0.05555555555555555,1.0,0.0,6.0
CIN,Up Big,3.0,21,-0.52891135,0.23809524,3.9047618,0.0,0.1904762,0.19047619047619047,1.0,3.0,8.8
CIN,Up Big,4.0,65,0.17272243,0.44615385,6.584615,0.06153846,0.32307693,0.07692307692307693,0.0,1.0,5.607143
CLE,Down Big,3.0,18,0.2407034,0.5,8.444445,0.11111111,0.3888889,0.05555555555555555,0.0,1.0,4.5
CLE,Down Big,4.0,56,-0.16243114,0.2857143,3.75,0.035714287,0.21428572,0.10714285714285714,0.0,2.0,5.2
CLE,Down (7-13),3.0,50,-0.025407303,0.4,4.84,0.06,0.26,0.18,1.0,4.0,3.1875
CLE,Down (7-13),4.0,40,-0.25850362,0.3,4.425,0.075,0.225,0.05,1.0,1.0,3.3333333
CLE,Slight Deficit,3.0,54,0.35275707,0.537037,6.0555553,0.074074075,0.4074074,0.07407407407407407,0.0,1.0,6.75
CLE,Slight Deficit,4.0,40,-0.60493267,0.15,1.1,0.025,0.1,0.15,0.0,4.0,3.25
CLE,Tied,3.0,12,-0.33330265,0.16666667,2.25,0.0,0.16666667,0.16666666666666666,0.0,1.0,0.0
CLE,Tied,4.0,10,0.8041719,0.5,9.9,0.2,0.3,0.1,0.0,0.0,21.666666
CLE,Slight Lead,3.0,70,-0.09287021,0.42857143,5.0285716,0.028571429,0.24285714,0.1,1.0,4.0,3.7
CLE,Slight Lead,4.0,67,-0.10828136,0.47761193,4.522388,0.029850746,0.2835821,0.13432835820895522,0.0,5.0,4.387097
CLE,Leading (7-13),3.0,18,-1.1043617,0.16666667,2.9444444,0.055555556,0.11111111,0.2777777777777778,1.0,2.0,7.0
CLE,Leading (7-13),4.0,8,,,,,,0.0,0.0,0.0,
